# Sharpe uses annualized arithmetic mean excess return ((mean(period_returns)*periods_per_year - risk_free_rate) / (std(period_returns)*sqrt(periods_per_year))); the Return column is geometric CAGR -- both are standard but won't divide exactly into each other (they differ by the ~0.5*sigma^2 volatility drag).
,annualized_return,annualized_return_arithmetic,total_return,annualized_vol,sharpe_ratio,max_drawdown,final_value,avg_turnover,annualized_turnover,n_rebalances,n_skipped,years,n_days
min_variance,0.043754342120286616,0.04813131470144263,0.08259467937027809,0.10296976462688964,-0.11526378973054356,-0.12728802538175632,1.082594679370278,0.2860253579151147,3.5498993029464767,23.0,3.0,1.8531746031746033,467
utility_ra2,0.04399260280165973,0.059805702783785455,0.08305269320942932,0.18312652913395078,-0.0010609998296446745,-0.1495208674650731,1.0819696405162198,0.5530269120586421,6.863691610903404,23.0,0.0,1.8531746031746033,467
utility_ra10,0.05840079207011484,0.06883227231208705,0.11091554381838287,0.15530866051631118,0.05686915515673674,-0.15448863646177213,1.1098046282745644,0.47560590392285734,5.902809034554349,23.0,0.0,1.8531746031746033,467
utility_ra50,0.07323360935344758,0.0776795183273747,0.13993957590272355,0.11815849868004803,0.1496254482315966,-0.13715926658344668,1.138799636326821,0.3108119217056134,3.8575286899480408,23.0,0.0,1.8531746031746033,467
max_sharpe,0.09211507185404133,0.09910069841572246,0.17738372494271926,0.14807171573199934,0.264065950897012,-0.14193740147584455,1.1762063412177766,0.4663263260265554,5.7876389414345075,23.0,0.0,1.8531746031746033,467
risk_parity,0.05401852686848052,0.05920834870836072,0.10240655468618143,0.11490191639709513,-0.006889800592214435,-0.13680307598604313,1.1013041481314954,0.10147539864256865,1.2594248619535928,23.0,0.0,1.8531746031746033,467
equal_weight,0.03686657361597101,0.04389844295916764,0.06939273835995352,0.12416613312352004,-0.12967752667963484,-0.15421297720005056,1.0699187666250651,,,,,1.8531746031746033,467
buy_and_hold_equal,0.035459602529536616,0.04250274029696911,0.06670513988526716,0.1238453134033711,-0.141283179978247,-0.15388386579123048,1.067239633170956,,,,,1.8531746031746033,467
nifty50,-0.02589177740255144,-0.01715067301464401,-0.04745134172358134,0.13492548953810796,-0.5718020611135437,-0.15766678303740744,0.9525486582764187,,,,,1.8531746031746033,467
