,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2024-08-01,1.0,0.999,0.999,0.999,0.999,0.999,1.0004918943679366,1.0005010693824408,1.0
2024-08-02,1.0,0.9757061899211372,0.9826252714181785,0.9907334387792818,0.98465602485849,0.9894903190747082,0.9880445118556467,0.9881101117074896,0.9882770645080453
2024-08-05,1.0,0.9396353227496155,0.9575812512539054,0.9734017635422542,0.9638462062579202,0.9700895110724272,0.9653439981406549,0.9654200518313941,0.9618046225313791
2024-08-06,1.0,0.9244691180958023,0.9459908851680835,0.9642751759096188,0.9519942142398502,0.9642460330365568,0.9595943717332416,0.9596465190274408,0.9592837685381085
2024-08-07,1.0,0.9672827921151271,0.9833072559669497,0.9792783572581097,0.9812558017961255,0.9778460225666075,0.9760141590831026,0.9761204674798645,0.9714764211010809
2024-08-08,1.0,0.974310487141558,0.9856950472680143,0.9768981694470885,0.9815752195202951,0.9747062836717321,0.9727308537226688,0.9728670511650949,0.9642595677619
2024-08-09,1.0,0.9971327751726365,1.0026191054648748,0.9860777657917366,0.9941743459676979,0.9843333532051525,0.9834061714925603,0.9835569262298398,0.9742752007894058
2024-08-12,1.0,0.9945361942668034,1.0056255753649161,0.9867346828380854,0.9955965461945827,0.9836808848849602,0.982741194160877,0.982895723414735,0.9734555581663964
2024-08-13,1.0,0.9915669238747539,1.0049000073991645,0.990315490838227,0.9968180111912965,0.9841267018115188,0.9820788289680824,0.9822310470101467,0.9651391842353736
2024-08-14,1.0,0.9835034244741376,0.9946735064563252,0.988115833611892,0.9898770804107312,0.982889664444514,0.9806053340218966,0.980724154372256,0.9653291014285099
2024-08-16,1.0,0.9922794716174249,1.002248495956743,0.99554494619669,0.99717289406565,0.993653724741377,0.9920373352837016,0.9921195663489073,0.9812181891629908
2024-08-19,1.0,0.9959081537216397,1.0064971310862463,1.0007291425483356,1.00164902689553,0.9973526077558258,0.9952287678471841,0.9953270072228314,0.982477640022737
2024-08-20,1.0,0.99714970240707,1.0130333047821625,1.0075116944150737,1.0087578270244661,1.0031342316873406,1.0009154447458306,1.0009915756391734,0.9875234087387367
2024-08-21,1.0,0.9998451224042488,1.014534866218549,1.010008489807408,1.010710380266971,1.0065600099180965,1.0038124356084677,1.0039033614332684,0.9903761492742891
2024-08-22,1.0,1.0020935956157957,1.0190390927667614,1.012611848941246,1.0146332570537009,1.0096835949194634,1.007667055753314,1.0076891799938188,0.9920274605267813
