,min_variance,utility_ra2,utility_ra10,utility_ra50,max_sharpe,risk_parity,equal_weight,buy_and_hold_equal,nifty50
2025-05-14,0.43932982423508854,0.4099027254490862,0.3788910477223556,0.1774189821157082,0.38132203337745124,-0.1314506018340395,-0.2626271074656438,-0.3110507407607104,-0.21955505991626756
2025-05-15,0.7152256485662153,0.5463405833959213,0.5880550342663524,0.5348519254741512,0.6099812113017984,0.19161285225373165,0.039886683658356896,-0.012631176069555237,0.14158129821278798
2025-05-16,0.616775215204836,0.6079264067411025,0.6705827469541178,0.5591172952231787,0.6724178394828433,0.19347902601348302,0.05413621356461117,-0.00028088643631319114,0.1471407637232042
2025-05-19,0.6250036738578693,0.5800264317552947,0.6871670177020747,0.6143085582690062,0.7003999000190183,0.19004287726818964,0.03760186907498323,-0.018676792663788494,0.11210501008495283
2025-05-20,0.7413746964898625,0.5086738844607497,0.6411859929779726,0.6647442387639577,0.6948129684964026,0.19508654046861318,0.019567070733653172,-0.038079277616803145,0.11467898937086463
2025-05-21,1.000915039301853,0.7665843180129608,0.9960920360676837,1.020156085572935,1.0066855552047598,0.48174041173679194,0.28595577401486794,0.23618422238498493,0.3625508538231284
2025-05-22,1.1894359083998323,0.6634774478213697,0.9279051423995723,1.0667478102406287,0.9922694579072355,0.4579487950073885,0.21763080895488865,0.1710048411625966,0.268667893857165
2025-05-23,1.2303178012781781,0.6764470971072494,0.9030152824459137,1.042964833219458,0.9462882262588593,0.5591210988443394,0.3344732481032559,0.28257610880396344,0.4404623771683083
2025-05-26,1.233967668476339,0.576119699547744,0.8249878288071406,0.9762858460008997,0.8650611548956599,0.545071783469891,0.3166415868869263,0.2550277009705482,0.4816224151491673
2025-05-27,1.198428478773785,0.4755460838804604,0.7532190583219572,0.8461159300009988,0.7569776355871953,0.5282764652815999,0.3256974921094163,0.2526485516790816,0.4839040632394313
2025-05-28,0.7753439148441514,0.34024734022594416,0.5952960201972427,0.5428049017505737,0.5956726652272345,0.16206792968857123,-0.018820186798078363,-0.09252674721144506,0.1375659624053039
2025-05-29,0.7364362734307048,0.20692502284567432,0.45064204919048517,0.44328217479765475,0.5061862168587962,0.06605359174668307,-0.12730705254019872,-0.20170590876290087,0.005837611729927326
2025-05-30,0.704389351280792,0.28133086081039266,0.5790647054712541,0.5198578702302509,0.6174253605530834,0.021577005679389763,-0.18295147084761382,-0.24768052412294467,-0.02378620667198072
2025-06-02,0.7114489373101657,0.24069586754944103,0.5910514280318457,0.5158214961044779,0.5775256022690909,-0.01785299178017814,-0.2271611346492207,-0.2890642351484808,-0.0869055727943109
2025-06-03,0.8770432628943657,0.2737687109782409,0.647583711123299,0.6208539059813741,0.6295457674499241,0.10273745552234619,-0.12279030749058213,-0.1796120442999689,0.018190506647204598
2025-06-04,0.8102959286168787,0.12460262604636665,0.47350260010021267,0.492868689001909,0.48424856380940084,0.0016973521672612236,-0.22163932163573394,-0.28139926733733744,-0.061938817443883035
2025-06-05,0.8484129963629412,0.15681958389017614,0.5252251674997737,0.615057701898913,0.5799662199619909,0.0308757908204191,-0.204956813413923,-0.25855284435372483,-0.07144265081094639
2025-06-06,0.8677975452537634,0.11159159245429427,0.48145454258732007,0.6449527270546963,0.5539098423410558,0.054756947798085424,-0.17640471000484464,-0.23793605719603533,-0.03432272606791695
2025-06-09,0.9097576125609634,0.13734397979884902,0.48102212706275727,0.6413808304786651,0.555083456882947,0.13199710571229178,-0.07369284569943532,-0.14547805817875326,0.014244464981405405
2025-06-10,0.8249075011312167,0.08366835892145254,0.35174296064790644,0.5363519855905579,0.4445124976870942,0.04011794964450218,-0.15180775835711366,-0.2360501659436762,-0.11907507616208718
2025-06-11,0.7696933212396234,0.0015627091759363198,0.31142857446785727,0.5512298384946585,0.426046098173719,0.0534828833035611,-0.13141162174779417,-0.21797847594692743,-0.0821022377151275
2025-06-12,0.8012585953700093,-0.028952788034613337,0.2904585835429843,0.563916808570067,0.41413161807359006,0.01832645406609144,-0.1950121906471892,-0.2838531939445466,-0.185831978803332
2025-06-13,0.8698887894400763,-0.1425285591467028,0.19219385998088445,0.48987365035912067,0.31499304518363974,-0.029765930796515502,-0.26655576367371187,-0.367481066205232,-0.27258097294900424
2025-06-16,0.8769851008585132,-0.050855462146278584,0.23372281004204093,0.4499550961021447,0.3536853555842558,0.010752100598736918,-0.1989912231788739,-0.2966192851244039,-0.1648282073206173
2025-06-17,0.8115858521269036,-0.045853700718275596,0.16609832499811816,0.33518022800996033,0.2833851071462225,-0.024160963978566076,-0.2185303154608409,-0.3231440570894782,-0.16420870031656637
2025-06-18,0.6448894200285428,-0.030410622034096686,0.18574096174019056,0.29764241674244823,0.3023507767493594,-0.11443272693568389,-0.30971993078342025,-0.4104670390889313,-0.3080735322979312
2025-06-19,0.6772969762103153,-0.0863221800065494,0.16614922088775613,0.33164510545111453,0.2691363538145512,-0.12976071064632327,-0.3389574738484085,-0.4361024659612995,-0.26394411327748296
2025-06-20,0.9891555489755808,0.11168337072849154,0.38658939770225764,0.6162442784055143,0.5204530358151416,0.16420288502030403,-0.05009840789872929,-0.14172320676410155,0.09221760928505862
2025-06-23,0.8831413505404383,0.03771594020517114,0.32769999955814916,0.546320073429497,0.4668865807392536,0.10301513976055005,-0.09488468551216557,-0.1839900187436255,0.09277255421394723
