date,strategy,ticker,weight_pct
2024-08-01,min_variance,RELIANCE.NS,0.0
2024-09-02,min_variance,RELIANCE.NS,0.0
2024-10-01,min_variance,RELIANCE.NS,0.0
2024-11-01,min_variance,RELIANCE.NS,-9.42940878738131e-16
2024-12-02,min_variance,RELIANCE.NS,3.39342916684361
2025-01-01,min_variance,RELIANCE.NS,2.605043924212779
2025-02-01,min_variance,RELIANCE.NS,4.096891173907733
2025-03-03,min_variance,RELIANCE.NS,1.9915076340618156e-16
2025-04-01,min_variance,RELIANCE.NS,0.5535994694292806
2025-05-02,min_variance,RELIANCE.NS,-1.3000603424579608e-15
2025-06-02,min_variance,RELIANCE.NS,8.148646943054324e-16
2025-07-01,min_variance,RELIANCE.NS,-9.251284509462398e-16
2025-08-01,min_variance,RELIANCE.NS,2.1958759289400246e-15
2025-09-01,min_variance,RELIANCE.NS,-9.298308704505522e-16
2025-10-01,min_variance,RELIANCE.NS,2.1759659841495992e-16
2025-11-03,min_variance,RELIANCE.NS,-9.247848903940835e-16
2025-12-01,min_variance,RELIANCE.NS,3.3111697659347665e-17
2026-01-01,min_variance,RELIANCE.NS,1.3964944512732303e-15
2026-02-02,min_variance,RELIANCE.NS,-1.7375942993523812e-15
2026-03-02,min_variance,RELIANCE.NS,7.793051180197599e-16
2026-04-01,min_variance,RELIANCE.NS,3.4972794458923193
2026-05-04,min_variance,RELIANCE.NS,4.779887231182393
2026-06-01,min_variance,RELIANCE.NS,4.81994288312039
2024-08-01,min_variance,TCS.NS,0.0
2024-09-02,min_variance,TCS.NS,0.0
2024-10-01,min_variance,TCS.NS,0.0
2024-11-01,min_variance,TCS.NS,7.663598244019597
2024-12-02,min_variance,TCS.NS,6.989117770678196
2025-01-01,min_variance,TCS.NS,8.155885047854047
2025-02-01,min_variance,TCS.NS,6.598388498860581
2025-03-03,min_variance,TCS.NS,4.557856534492644
2025-04-01,min_variance,TCS.NS,7.276963817905388
2025-05-02,min_variance,TCS.NS,11.713832606642281
2025-06-02,min_variance,TCS.NS,12.035963505575932
2025-07-01,min_variance,TCS.NS,9.772194156665204
2025-08-01,min_variance,TCS.NS,3.640886511258808
2025-09-01,min_variance,TCS.NS,2.830256983928493
2025-10-01,min_variance,TCS.NS,0.6736183677285911
2025-11-03,min_variance,TCS.NS,8.198170319026048
2025-12-01,min_variance,TCS.NS,10.30273218314148
2026-01-01,min_variance,TCS.NS,10.215284540700525
2026-02-02,min_variance,TCS.NS,7.4770197803684795
2026-03-02,min_variance,TCS.NS,9.75860849252661
2026-04-01,min_variance,TCS.NS,2.5456558589082077
2026-05-04,min_variance,TCS.NS,1.3877787807814457e-15
2026-06-01,min_variance,TCS.NS,6.044716540359072e-17
2024-08-01,min_variance,INFY.NS,0.0
2024-09-02,min_variance,INFY.NS,0.0
2024-10-01,min_variance,INFY.NS,0.0
2024-11-01,min_variance,INFY.NS,5.169381012860256e-16
2024-12-02,min_variance,INFY.NS,4.795837008132164e-16
2025-01-01,min_variance,INFY.NS,1.7114631863520036
2025-02-01,min_variance,INFY.NS,4.0344260763979545
2025-03-03,min_variance,INFY.NS,4.66131719770118
2025-04-01,min_variance,INFY.NS,3.2920426932546967
2025-05-02,min_variance,INFY.NS,0.6788315725990081
2025-06-02,min_variance,INFY.NS,1.0834130007661857e-15
2025-07-01,min_variance,INFY.NS,0.06065613098972279
2025-08-01,min_variance,INFY.NS,0.950207273511265
2025-09-01,min_variance,INFY.NS,0.15140657590912285
2025-10-01,min_variance,INFY.NS,0.2586056163843598
2025-11-03,min_variance,INFY.NS,0.41776506303069677
2025-12-01,min_variance,INFY.NS,7.358957653226382e-16
2026-01-01,min_variance,INFY.NS,-7.771929083805924e-16
2026-02-02,min_variance,INFY.NS,-6.609690627071476e-16
2026-03-02,min_variance,INFY.NS,5.786545281752868e-17
2026-04-01,min_variance,INFY.NS,1.204251187500708
2026-05-04,min_variance,INFY.NS,0.9617123280478344
2026-06-01,min_variance,INFY.NS,1.4703380108419994
2024-08-01,min_variance,HDFCBANK.NS,0.0
2024-09-02,min_variance,HDFCBANK.NS,0.0
2024-10-01,min_variance,HDFCBANK.NS,0.0
2024-11-01,min_variance,HDFCBANK.NS,6.990261989478198
2024-12-02,min_variance,HDFCBANK.NS,5.055540522055304
2025-01-01,min_variance,HDFCBANK.NS,6.512494314155316
2025-02-01,min_variance,HDFCBANK.NS,6.969425545879108
2025-03-03,min_variance,HDFCBANK.NS,8.891144734518894
2025-04-01,min_variance,HDFCBANK.NS,8.010395574868632
2025-05-02,min_variance,HDFCBANK.NS,6.743415166802941
2025-06-02,min_variance,HDFCBANK.NS,6.420765487802492
2025-07-01,min_variance,HDFCBANK.NS,8.051786126549947
2025-08-01,min_variance,HDFCBANK.NS,11.123736403039617
2025-09-01,min_variance,HDFCBANK.NS,10.423886372086075
2025-10-01,min_variance,HDFCBANK.NS,9.511325790563912
2025-11-03,min_variance,HDFCBANK.NS,9.051121485949954
2025-12-01,min_variance,HDFCBANK.NS,8.080378438835886
2026-01-01,min_variance,HDFCBANK.NS,9.331248126957702
2026-02-02,min_variance,HDFCBANK.NS,12.802013837239404
2026-03-02,min_variance,HDFCBANK.NS,13.315759333043415
2026-04-01,min_variance,HDFCBANK.NS,4.6162886577509096e-15
2026-05-04,min_variance,HDFCBANK.NS,-1.4543694925830784e-15
2026-06-01,min_variance,HDFCBANK.NS,2.2667876719344312e-15
2024-08-01,min_variance,ICICIBANK.NS,0.0
2024-09-02,min_variance,ICICIBANK.NS,0.0
2024-10-01,min_variance,ICICIBANK.NS,0.0
2024-11-01,min_variance,ICICIBANK.NS,4.855384036701716e-16
2024-12-02,min_variance,ICICIBANK.NS,2.5521644229544247
2025-01-01,min_variance,ICICIBANK.NS,6.142178060606613
2025-02-01,min_variance,ICICIBANK.NS,4.333502671953733
2025-03-03,min_variance,ICICIBANK.NS,8.13600545637631
2025-04-01,min_variance,ICICIBANK.NS,6.27966603396259
2025-05-02,min_variance,ICICIBANK.NS,4.657068646996614
2025-06-02,min_variance,ICICIBANK.NS,1.798223089529746
2025-07-01,min_variance,ICICIBANK.NS,4.343250821500861
2025-08-01,min_variance,ICICIBANK.NS,9.761446916783772
2025-09-01,min_variance,ICICIBANK.NS,9.884091959384238
2025-10-01,min_variance,ICICIBANK.NS,9.094618201634534
2025-11-03,min_variance,ICICIBANK.NS,6.09938877225769
2025-12-01,min_variance,ICICIBANK.NS,6.426782460492617
2026-01-01,min_variance,ICICIBANK.NS,6.733878473689786
2026-02-02,min_variance,ICICIBANK.NS,6.564514322813722
2026-03-02,min_variance,ICICIBANK.NS,5.007446660996771
2026-04-01,min_variance,ICICIBANK.NS,4.680133240856534
2026-05-04,min_variance,ICICIBANK.NS,7.218419359937397
2026-06-01,min_variance,ICICIBANK.NS,6.93807503991043
2024-08-01,min_variance,SBIN.NS,0.0
2024-09-02,min_variance,SBIN.NS,0.0
2024-10-01,min_variance,SBIN.NS,0.0
2024-11-01,min_variance,SBIN.NS,-1.3519118312653224e-15
2024-12-02,min_variance,SBIN.NS,3.7334517840186954e-17
2025-01-01,min_variance,SBIN.NS,2.6598813614945545e-15
2025-02-01,min_variance,SBIN.NS,1.7956791212303092e-15
2025-03-03,min_variance,SBIN.NS,-4.894440114370255e-16
2025-04-01,min_variance,SBIN.NS,-2.1657544886096644e-17
2025-05-02,min_variance,SBIN.NS,-2.3133567146479674e-16
2025-06-02,min_variance,SBIN.NS,2.7671243380855524
2025-07-01,min_variance,SBIN.NS,2.618930994483859
2025-08-01,min_variance,SBIN.NS,-3.795500550287434e-16
2025-09-01,min_variance,SBIN.NS,1.2330722226408575
2025-10-01,min_variance,SBIN.NS,5.367821784717394
2025-11-03,min_variance,SBIN.NS,1.4928416157513102
2025-12-01,min_variance,SBIN.NS,4.228499174224945
2026-01-01,min_variance,SBIN.NS,5.479615968308158
2026-02-02,min_variance,SBIN.NS,5.208562731391813
2026-03-02,min_variance,SBIN.NS,2.921349670283197
2026-04-01,min_variance,SBIN.NS,3.584944141511431
2026-05-04,min_variance,SBIN.NS,4.978182782306817
2026-06-01,min_variance,SBIN.NS,2.92788002342194
2024-08-01,min_variance,ITC.NS,0.0
2024-09-02,min_variance,ITC.NS,0.0
2024-10-01,min_variance,ITC.NS,0.0
2024-11-01,min_variance,ITC.NS,4.178536119578466
2024-12-02,min_variance,ITC.NS,5.547044647199667
2025-01-01,min_variance,ITC.NS,6.009904340568615
2025-02-01,min_variance,ITC.NS,5.367216987338135
2025-03-03,min_variance,ITC.NS,4.99916182891085
2025-04-01,min_variance,ITC.NS,6.201990707082111
2025-05-02,min_variance,ITC.NS,6.993860230150572
2025-06-02,min_variance,ITC.NS,7.662784354552212
2025-07-01,min_variance,ITC.NS,7.991354763935783
2025-08-01,min_variance,ITC.NS,7.732748642779372
2025-09-01,min_variance,ITC.NS,7.270729085419083
2025-10-01,min_variance,ITC.NS,7.450408573450987
2025-11-03,min_variance,ITC.NS,12.9975491296645
2025-12-01,min_variance,ITC.NS,15.506495842160817
2026-01-01,min_variance,ITC.NS,11.465799246310388
2026-02-02,min_variance,ITC.NS,11.09517761771637
2026-03-02,min_variance,ITC.NS,15.089695837621143
2026-04-01,min_variance,ITC.NS,8.730694548037366
2026-05-04,min_variance,ITC.NS,7.902468428547847
2026-06-01,min_variance,ITC.NS,3.9359508576111097
2024-08-01,min_variance,HINDUNILVR.NS,0.0
2024-09-02,min_variance,HINDUNILVR.NS,0.0
2024-10-01,min_variance,HINDUNILVR.NS,0.0
2024-11-01,min_variance,HINDUNILVR.NS,10.943361229927852
2024-12-02,min_variance,HINDUNILVR.NS,8.96770302513945
2025-01-01,min_variance,HINDUNILVR.NS,8.18236691325088
2025-02-01,min_variance,HINDUNILVR.NS,9.381639539581322
2025-03-03,min_variance,HINDUNILVR.NS,8.194595660303266
2025-04-01,min_variance,HINDUNILVR.NS,7.478703065188122
2025-05-02,min_variance,HINDUNILVR.NS,8.380290704392172
2025-06-02,min_variance,HINDUNILVR.NS,9.519944458537214
2025-07-01,min_variance,HINDUNILVR.NS,9.867137930461583
2025-08-01,min_variance,HINDUNILVR.NS,9.932163274645923
2025-09-01,min_variance,HINDUNILVR.NS,8.588355340306068
2025-10-01,min_variance,HINDUNILVR.NS,8.20149009806313
2025-11-03,min_variance,HINDUNILVR.NS,11.542982329633837
2025-12-01,min_variance,HINDUNILVR.NS,12.227448693144902
2026-01-01,min_variance,HINDUNILVR.NS,13.271615024726898
2026-02-02,min_variance,HINDUNILVR.NS,11.677010704034295
2026-03-02,min_variance,HINDUNILVR.NS,9.966526438504289
2026-04-01,min_variance,HINDUNILVR.NS,10.458117207754606
2026-05-04,min_variance,HINDUNILVR.NS,8.02394482331072
2026-06-01,min_variance,HINDUNILVR.NS,6.308079458130209
2024-08-01,min_variance,NESTLEIND.NS,0.0
2024-09-02,min_variance,NESTLEIND.NS,0.0
2024-10-01,min_variance,NESTLEIND.NS,0.0
2024-11-01,min_variance,NESTLEIND.NS,20.263103976668773
2024-12-02,min_variance,NESTLEIND.NS,15.228863439177234
2025-01-01,min_variance,NESTLEIND.NS,11.497840488580092
2025-02-01,min_variance,NESTLEIND.NS,11.071595475826292
2025-03-03,min_variance,NESTLEIND.NS,5.828569391967108
2025-04-01,min_variance,NESTLEIND.NS,7.993720170021892
2025-05-02,min_variance,NESTLEIND.NS,9.471078294770999
2025-06-02,min_variance,NESTLEIND.NS,9.13131958939218
2025-07-01,min_variance,NESTLEIND.NS,6.817180518187485
2025-08-01,min_variance,NESTLEIND.NS,1.4675769560333796
2025-09-01,min_variance,NESTLEIND.NS,-1.5938116760820938e-17
2025-10-01,min_variance,NESTLEIND.NS,8.68449947940306e-16
2025-11-03,min_variance,NESTLEIND.NS,-7.948760646426832e-16
2025-12-01,min_variance,NESTLEIND.NS,-4.526695065137912e-16
2026-01-01,min_variance,NESTLEIND.NS,-4.056459237176887e-16
2026-02-02,min_variance,NESTLEIND.NS,1.5581290053945088e-16
2026-03-02,min_variance,NESTLEIND.NS,2.0737005735001306
2026-04-01,min_variance,NESTLEIND.NS,4.075690480903741
2026-05-04,min_variance,NESTLEIND.NS,2.578974801910887
2026-06-01,min_variance,NESTLEIND.NS,4.727018529479244
2024-08-01,min_variance,SUNPHARMA.NS,0.0
2024-09-02,min_variance,SUNPHARMA.NS,0.0
2024-10-01,min_variance,SUNPHARMA.NS,0.0
2024-11-01,min_variance,SUNPHARMA.NS,-3.208875616512765e-15
2024-12-02,min_variance,SUNPHARMA.NS,1.2557676421622587e-16
2025-01-01,min_variance,SUNPHARMA.NS,3.4742375620020347
2025-02-01,min_variance,SUNPHARMA.NS,0.7749627671691265
2025-03-03,min_variance,SUNPHARMA.NS,6.259630223393215
2025-04-01,min_variance,SUNPHARMA.NS,6.066244306454573
2025-05-02,min_variance,SUNPHARMA.NS,4.552555172384044
2025-06-02,min_variance,SUNPHARMA.NS,7.865177258727406
2025-07-01,min_variance,SUNPHARMA.NS,9.645453014581674
2025-08-01,min_variance,SUNPHARMA.NS,9.413358604782244
2025-09-01,min_variance,SUNPHARMA.NS,6.493968145655714
2025-10-01,min_variance,SUNPHARMA.NS,5.8031523039145645
2025-11-03,min_variance,SUNPHARMA.NS,7.626858714613586
2025-12-01,min_variance,SUNPHARMA.NS,7.0886770537034165
2026-01-01,min_variance,SUNPHARMA.NS,7.645306803738375
2026-02-02,min_variance,SUNPHARMA.NS,7.9626406487486605
2026-03-02,min_variance,SUNPHARMA.NS,8.019589324376707
2026-04-01,min_variance,SUNPHARMA.NS,13.654599494702929
2026-05-04,min_variance,SUNPHARMA.NS,11.541553576007818
2026-06-01,min_variance,SUNPHARMA.NS,8.339386751308977
2024-08-01,min_variance,DRREDDY.NS,0.0
2024-09-02,min_variance,DRREDDY.NS,0.0
2024-10-01,min_variance,DRREDDY.NS,0.0
2024-11-01,min_variance,DRREDDY.NS,8.559601151018763
2024-12-02,min_variance,DRREDDY.NS,9.652001645214071
2025-01-01,min_variance,DRREDDY.NS,5.436044860630852
2025-02-01,min_variance,DRREDDY.NS,8.895257985450037
2025-03-03,min_variance,DRREDDY.NS,7.37530270248853
2025-04-01,min_variance,DRREDDY.NS,7.321435865749085
2025-05-02,min_variance,DRREDDY.NS,8.671797715780794
2025-06-02,min_variance,DRREDDY.NS,8.85981951478814
2025-07-01,min_variance,DRREDDY.NS,7.965033629077089
2025-08-01,min_variance,DRREDDY.NS,8.004032596883846
2025-09-01,min_variance,DRREDDY.NS,8.477262417746237
2025-10-01,min_variance,DRREDDY.NS,7.644275900900988
2025-11-03,min_variance,DRREDDY.NS,8.083532578412523
2025-12-01,min_variance,DRREDDY.NS,7.152129203693981
2026-01-01,min_variance,DRREDDY.NS,6.077187948935735
2026-02-02,min_variance,DRREDDY.NS,4.144583232952191
2026-03-02,min_variance,DRREDDY.NS,3.630745030100709
2026-04-01,min_variance,DRREDDY.NS,2.2653307562942664
2026-05-04,min_variance,DRREDDY.NS,4.978629320146643
2026-06-01,min_variance,DRREDDY.NS,3.8733257876485947
2024-08-01,min_variance,TITAN.NS,0.0
2024-09-02,min_variance,TITAN.NS,0.0
2024-10-01,min_variance,TITAN.NS,0.0
2024-11-01,min_variance,TITAN.NS,10.83771921928533
2024-12-02,min_variance,TITAN.NS,9.069853137930526
2025-01-01,min_variance,TITAN.NS,6.040557399103311
2025-02-01,min_variance,TITAN.NS,5.513336425831831
2025-03-03,min_variance,TITAN.NS,0.9391745556971066
2025-04-01,min_variance,TITAN.NS,1.6983417399270637
2025-05-02,min_variance,TITAN.NS,1.504859502780808
2025-06-02,min_variance,TITAN.NS,0.4542428977867538
