Date,GOLDBEES,HDFCBANK,INDIGO,ITC,LT,NESTLEIND,ONGC,SUNPHARMA,TECHM,TITAN
2025-09-24,94.63999938964844,951.0499877929688,5686.0,392.76849365234375,3673.800048828125,1172.270751953125,227.46234130859375,1616.598876953125,1437.350341796875,3418.300048828125
2025-09-25,94.43000030517578,949.8499755859375,5674.5,391.8869934082031,3644.39990234375,1167.1981201171875,228.5590362548828,1616.89697265625,1429.334228515625,3378.5
2025-09-26,94.22000122070312,945.0499877929688,5561.0,396.7843322753906,3729.5,1156.356689453125,226.98553466796875,1576.4595947265625,1393.1134033203125,3327.300048828125
2025-09-29,95.9000015258789,950.2999877929688,5707.0,398.89019775390625,3688.39990234375,1146.3109130859375,228.8546600341797,1579.04296875,1396.082275390625,3401.199951171875
2025-09-30,95.8499984741211,951.0,5594.5,393.30718994140625,3659.0,1146.708740234375,228.3969268798828,1584.0106201171875,1385.7901611328125,3367.0
2025-10-01,97.62999725341797,965.25,5606.0,397.2740783691406,3670.300048828125,1160.1363525390625,231.77279663085938,1625.64013671875,1401.327392578125,3408.300048828125
2025-10-03,97.06999969482422,965.1500244140625,5657.0,396.0007629394531,3733.10009765625,1163.6175537109375,232.36407470703125,1620.67236328125,1386.0870361328125,3453.300048828125
2025-10-06,99.22000122070312,973.4500122070312,5694.5,392.52362060546875,3737.0,1175.35400390625,234.46206665039062,1644.020751953125,1424.3861083984375,3425.39990234375
2025-10-07,99.66000366210938,982.5,5664.0,391.5931396484375,3729.699951171875,1170.48046875,233.94711303710938,1642.4310302734375,1423.990234375,3418.199951171875
2025-10-08,101.69000244140625,978.7000122070312,5635.0,391.5441589355469,3729.800048828125,1174.1605224609375,230.59982299804688,1621.06982421875,1443.090087890625,3565.60009765625
2025-10-09,101.47000122070312,977.0999755859375,5724.5,391.6910705566406,3769.199951171875,1181.42138671875,232.10658264160156,1647.7962646484375,1451.403076171875,3550.60009765625
2025-10-10,100.66999816894531,980.9000244140625,5735.0,394.53155517578125,3784.0,1193.0584716796875,234.91981506347656,1660.1162109375,1442.1004638671875,3531.89990234375
2025-10-13,102.6500015258789,977.0,5787.5,391.0544128417969,3769.5,1181.7197265625,232.7741241455078,1657.63232421875,1435.8658447265625,3533.60009765625
2025-10-14,105.08999633789062,977.1500244140625,5759.0,388.6546936035156,3744.300048828125,1169.1873779296875,233.3463134765625,1643.7227783203125,1452.78857421875,3537.39990234375
2025-10-15,105.29000091552734,978.25,5860.5,391.6910705566406,3828.699951171875,1214.8409423828125,236.23585510253906,1644.418212890625,1443.8818359375,3549.0
2025-10-16,105.37000274658203,994.3499755859375,5881.0,396.83331298828125,3861.800048828125,1269.7445068359375,236.83663940429688,1648.29296875,1448.6322021484375,3640.300048828125
2025-10-17,108.11000061035156,1002.5499877929688,5848.0,403.6896057128906,3839.39990234375,1282.5751953125,236.20724487304688,1668.2633056640625,1432.5999755859375,3674.800048828125
2025-10-20,105.13999938964844,1002.9500122070312,5934.0,404.5711364746094,3872.699951171875,1278.4971923828125,237.2085723876953,1677.7020263671875,1444.4000244140625,3737.199951171875
2025-10-21,105.69000244140625,1007.7000122070312,5913.0,404.3752746582031,3888.199951171875,1280.3870849609375,236.61729431152344,1679.5897216796875,1448.699951171875,3729.0
2025-10-23,101.69999694824219,1008.7999877929688,5789.0,407.41162109375,3918.699951171875,1265.9649658203125,240.61305236816406,1678.99365234375,1463.4000244140625,3772.300048828125
2025-10-27,100.13999938964844,1002.9500122070312,5835.0,412.01513671875,3923.800048828125,1276.110107421875,241.52854919433594,1682.669677734375,1462.800048828125,3739.800048828125
2025-10-28,96.83999633789062,1003.5499877929688,5809.0,409.32159423828125,3972.800048828125,1264.174560546875,238.92510986328125,1676.1123046875,1447.4000244140625,3717.0
2025-10-29,99.94999694824219,1007.8499755859375,5813.0,412.9456481933594,3958.10009765625,1266.163818359375,243.78866577148438,1704.8258056640625,1452.199951171875,3748.300048828125
2025-10-30,99.68000030517578,998.1500244140625,5725.0,410.1541442871094,3987.5,1273.0267333984375,242.73013305664062,1692.406494140625,1433.800048828125,3750.699951171875
2025-10-31,100.0199966430664,987.2999877929688,5625.0,411.7213134765625,4030.89990234375,1264.7713623046875,243.53118896484375,1679.788330078125,1424.4000244140625,3746.699951171875
2025-11-03,100.05000305175781,992.6500244140625,5695.5,405.45269775390625,3980.5,1259.8975830078125,245.61012268066406,1695.3870849609375,1419.800048828125,3724.5
2025-11-04,99.80000305175781,985.25,5637.0,400.5063171386719,3924.39990234375,1258.206787109375,240.6511993408203,1679.093017578125,1409.199951171875,3813.5
2025-11-06,100.06999969482422,984.6500244140625,5693.0,399.13507080078125,3881.60009765625,1259.30078125,239.84060668945312,1675.0194091796875,1413.5999755859375,3774.39990234375
2025-11-07,99.94000244140625,982.2999877929688,5583.5,395.7558898925781,3882.5,1255.9190673828125,240.50816345214844,1680.48388671875,1386.699951171875,3769.300048828125
2025-11-10,101.69999694824219,984.5,5588.5,397.22509765625,3918.5,1256.1180419921875,239.7452392578125,1686.8426513671875,1397.800048828125,3803.0
2025-11-11,103.29000091552734,991.7000122070312,5782.5,398.4984130859375,3955.0,1261.2901611328125,237.88563537597656,1705.0245361328125,1408.0,3812.39990234375
2025-11-12,102.69000244140625,989.5,5795.5,398.64532470703125,3954.60009765625,1271.3358154296875,242.0816650390625,1720.9212646484375,1456.0999755859375,3851.10009765625
2025-11-13,105.37000274658203,986.6500244140625,5905.5,397.3720397949219,4002.5,1268.3519287109375,239.2207489013672,1726.18701171875,1451.4000244140625,3839.199951171875
2025-11-14,103.80999755859375,989.5999755859375,5908.5,399.771728515625,4004.39990234375,1264.7713623046875,241.9075164794922,1745.7598876953125,1439.199951171875,3829.199951171875
2025-11-17,101.94000244140625,996.5499877929688,5873.0,398.7432861328125,4027.699951171875,1263.4783935546875,242.34716796875,1752.5159912109375,1452.800048828125,3868.60009765625
2025-11-18,100.91000366210938,992.4500122070312,5739.5,397.5189514160156,3999.60009765625,1258.30615234375,241.2724609375,1747.448974609375,1422.0,3879.199951171875
2025-11-19,102.2300033569336,994.5999755859375,5758.5,395.2661437988281,4019.60009765625,1272.131591796875,243.27532958984375,1772.5855712890625,1433.9000244140625,3933.10009765625
2025-11-20,101.55000305175781,1008.8499755859375,5785.5,397.1271667480469,4037.39990234375,1272.3304443359375,242.34716796875,1765.928955078125,1456.0,3902.39990234375
2025-11-21,102.0,998.0499877929688,5843.5,399.4779052734375,4024.89990234375,1273.8223876953125,241.2724609375,1768.2139892578125,1461.5,3904.199951171875
2025-11-24,102.2300033569336,999.1500244140625,5805.5,395.2661437988281,4013.300048828125,1262.3841552734375,240.1000518798828,1769.3070068359375,1494.699951171875,3874.300048828125
2025-11-25,103.45999908447266,989.7999877929688,5775.0,392.5726013183594,3996.699951171875,1256.4163818359375,239.70925903320312,1765.332763671875,1494.699951171875,3855.10009765625
2025-11-26,104.18000030517578,1003.9000244140625,5913.0,394.04180908203125,4062.0,1269.9434814453125,242.00521850585938,1793.25146484375,1520.4000244140625,3897.699951171875
2025-11-27,104.11000061035156,1009.5,5919.0,396.0007629394531,4081.300048828125,1259.5992431640625,238.39028930664062,1798.6165771484375,1509.800048828125,3903.300048828125
2025-11-28,104.62000274658203,1007.5999755859375,5901.5,395.9517822265625,4069.60009765625,1254.32763671875,237.65753173828125,1819.779052734375,1517.300048828125,3907.699951171875
2025-12-01,106.72000122070312,1002.0999755859375,5794.0,395.9517822265625,4073.199951171875,1253.830322265625,239.20120239257812,1795.7353515625,1529.5,3894.89990234375
2025-12-02,105.62999725341797,989.7999877929688,5697.5,392.71954345703125,4030.5,1252.1395263671875,237.94085693359375,1787.88623046875,1536.699951171875,3885.800048828125
2025-12-03,106.51000213623047,1000.5,5595.5,392.2787780761719,3988.0,1235.2308349609375,234.5017852783203,1795.039794921875,1541.699951171875,3817.800048828125
2025-12-04,105.91999816894531,997.2000122070312,5436.5,394.7763977050781,3983.60009765625,1235.7281494140625,236.6609649658203,1806.56494140625,1562.300048828125,3800.39990234375
2025-12-05,106.88999938964844,1003.2999877929688,5370.5,396.6374206542969,4038.199951171875,1240.2039794921875,235.6839599609375,1793.64892578125,1570.800048828125,3813.300048828125
2025-12-08,106.8499984741211,1003.0999755859375,4923.5,394.04180908203125,3996.699951171875,1208.2763671875,233.03627014160156,1784.6075439453125,1591.800048828125,3767.0
2025-12-09,106.27999877929688,997.0999755859375,4967.5,392.8174743652344,3997.5,1209.27099609375,234.325927734375,1764.5379638671875,1561.5999755859375,3849.0
2025-12-10,106.2300033569336,989.7999877929688,4805.5,394.8743591308594,3991.300048828125,1202.805908203125,233.78855895996094,1773.9765625,1550.800048828125,3845.699951171875
2025-12-11,107.1500015258789,1000.2999877929688,4819.0,394.6294860839844,4003.89990234375,1208.4752197265625,232.92880249023438,1795.5364990234375,1568.199951171875,3844.800048828125
2025-12-12,109.61000061035156,1001.5,4860.5,391.8869934082031,4074.10009765625,1231.650146484375,232.5477752685547,1781.9249267578125,1578.4000244140625,3880.199951171875
2025-12-15,110.94999694824219,996.0999755859375,4965.5,394.04180908203125,4092.300048828125,1236.822265625,229.9391632080078,1785.501708984375,1575.4000244140625,3866.199951171875
2025-12-16,109.55999755859375,994.2999877929688,4974.0,393.4541320800781,4063.800048828125,1233.937744140625,226.87135314941406,1769.8037109375,1578.199951171875,3929.5
2025-12-17,109.98999786376953,984.0,4980.5,391.5931396484375,4062.39990234375,1227.969970703125,227.5552520751953,1781.328857421875,1579.4000244140625,3907.89990234375
2025-12-18,109.87999725341797,979.7000122070312,5115.5,392.1808166503906,4031.10009765625,1226.8759765625,226.66616821289062,1734.6322021484375,1605.5999755859375,3919.300048828125
