Date,Close
,INDIGO.NS
2025-09-24,5686.0
2025-09-25,5674.5
2025-09-26,5561.0
2025-09-29,5707.0
2025-09-30,5594.5
2025-10-01,5606.0
2025-10-03,5657.0
2025-10-06,5694.5
2025-10-07,5664.0
2025-10-08,5635.0
2025-10-09,5724.5
2025-10-10,5735.0
2025-10-13,5787.5
2025-10-14,5759.0
2025-10-15,5860.5
2025-10-16,5881.0
2025-10-17,5848.0
2025-10-20,5934.0
2025-10-21,5913.0
2025-10-23,5789.0
2025-10-24,5779.0
2025-10-27,5835.0
2025-10-28,5809.0
2025-10-29,5813.0
2025-10-30,5725.0
2025-10-31,5625.0
2025-11-03,5695.5
2025-11-04,5637.0
2025-11-06,5693.0
2025-11-07,5583.5
2025-11-10,5588.5
2025-11-11,5782.5
2025-11-12,5795.5
2025-11-13,5905.5
2025-11-14,5908.5
2025-11-17,5873.0
2025-11-18,5739.5
2025-11-19,5758.5
2025-11-20,5785.5
2025-11-21,5843.5
2025-11-24,5805.5
2025-11-25,5775.0
2025-11-26,5913.0
2025-11-27,5919.0
2025-11-28,5901.5
2025-12-01,5794.0
2025-12-02,5697.5
2025-12-03,5595.5
2025-12-04,5436.5
2025-12-05,5370.5
2025-12-08,4923.5
2025-12-09,4967.5
2025-12-10,4805.5
2025-12-11,4819.0
2025-12-12,4860.5
2025-12-15,4965.5
2025-12-16,4974.0
2025-12-17,4980.5
2025-12-18,5115.5
2025-12-19,5153.5
2025-12-22,5145.5
2025-12-23,5157.0
2025-12-24,5081.5
2025-12-26,5074.0
2025-12-29,5085.5
2025-12-30,5018.0
2025-12-31,5059.5
2026-01-01,5110.5
2026-01-02,5106.0
2026-01-05,5102.5
2026-01-06,5002.5
2026-01-07,4951.0
2026-01-08,4906.5
2026-01-09,4844.0
2026-01-12,4850.0
2026-01-13,4759.5
2026-01-14,4733.0
2026-01-15,4733.0
2026-01-16,4740.0
2026-01-19,4941.5
2026-01-20,4790.0
2026-01-21,4857.5
2026-01-22,4909.0
2026-01-23,4704.5
2026-01-27,4769.0
2026-01-28,4749.0
2026-01-29,4621.0
2026-01-30,4596.5
2026-02-02,4687.0
2026-02-03,4946.2001953125
2026-02-04,4960.7001953125
2026-02-05,4932.2001953125
2026-02-06,4909.39990234375
2026-02-09,4964.10009765625
2026-02-10,4960.39990234375
2026-02-11,5013.7998046875
2026-02-12,4982.7998046875
2026-02-13,4929.2001953125
2026-02-16,4940.7998046875
2026-02-17,4977.0
2026-02-18,4980.39990234375
2026-02-19,4815.10009765625
2026-02-20,4854.60009765625
2026-02-23,4862.2001953125
2026-02-24,4850.2998046875
2026-02-25,4947.39990234375
2026-02-26,4933.5
2026-02-27,4827.2001953125
2026-03-02,4520.39990234375
2026-03-04,4392.89990234375
2026-03-05,4512.7998046875
2026-03-06,4404.10009765625
2026-03-09,4236.7001953125
2026-03-10,4380.39990234375
2026-03-11,4350.7001953125
2026-03-12,4251.7001953125
2026-03-13,4158.2001953125
2026-03-16,4222.10009765625
2026-03-17,4287.89990234375
2026-03-18,4360.60009765625
2026-03-19,4154.2998046875
2026-03-20,4149.10009765625
2026-03-23,3945.300048828125
