Date,Close
,LT.NS
2025-09-24,3673.800048828125
2025-09-25,3644.39990234375
2025-09-26,3729.5
2025-09-29,3688.39990234375
2025-09-30,3659.0
2025-10-01,3670.300048828125
2025-10-03,3733.10009765625
2025-10-06,3737.0
2025-10-07,3729.699951171875
2025-10-08,3729.800048828125
2025-10-09,3769.199951171875
2025-10-10,3784.0
2025-10-13,3769.5
2025-10-14,3744.300048828125
2025-10-15,3828.699951171875
2025-10-16,3861.800048828125
2025-10-17,3839.39990234375
2025-10-20,3872.699951171875
2025-10-21,3888.199951171875
2025-10-23,3918.699951171875
2025-10-24,3904.89990234375
2025-10-27,3923.800048828125
2025-10-28,3972.800048828125
2025-10-29,3958.10009765625
2025-10-30,3987.5
2025-10-31,4030.89990234375
2025-11-03,3980.5
2025-11-04,3924.39990234375
2025-11-06,3881.60009765625
2025-11-07,3882.5
2025-11-10,3918.5
2025-11-11,3955.0
2025-11-12,3954.60009765625
2025-11-13,4002.5
2025-11-14,4004.39990234375
2025-11-17,4027.699951171875
2025-11-18,3999.60009765625
2025-11-19,4019.60009765625
2025-11-20,4037.39990234375
2025-11-21,4024.89990234375
2025-11-24,4013.300048828125
2025-11-25,3996.699951171875
2025-11-26,4062.0
2025-11-27,4081.300048828125
2025-11-28,4069.60009765625
2025-12-01,4073.199951171875
2025-12-02,4030.5
2025-12-03,3988.0
2025-12-04,3983.60009765625
2025-12-05,4038.199951171875
2025-12-08,3996.699951171875
2025-12-09,3997.5
2025-12-10,3991.300048828125
2025-12-11,4003.89990234375
2025-12-12,4074.10009765625
2025-12-15,4092.300048828125
2025-12-16,4063.800048828125
2025-12-17,4062.39990234375
2025-12-18,4031.10009765625
2025-12-19,4073.5
2025-12-22,4072.39990234375
2025-12-23,4058.800048828125
2025-12-24,4053.60009765625
2025-12-26,4047.300048828125
2025-12-29,4038.699951171875
2025-12-30,4052.0
2025-12-31,4083.5
2026-01-01,4140.39990234375
2026-01-02,4163.39990234375
2026-01-05,4150.39990234375
2026-01-06,4140.60009765625
2026-01-07,4157.0
2026-01-08,4028.39990234375
2026-01-09,4025.199951171875
2026-01-12,4019.0
2026-01-13,3887.39990234375
2026-01-14,3865.800048828125
2026-01-15,3865.800048828125
2026-01-16,3856.39990234375
2026-01-19,3869.800048828125
2026-01-20,3810.5
2026-01-21,3766.5
2026-01-22,3793.800048828125
2026-01-23,3743.800048828125
2026-01-27,3787.800048828125
2026-01-28,3794.0
2026-01-29,3932.89990234375
2026-01-30,3932.300048828125
2026-02-02,3921.300048828125
2026-02-03,4038.800048828125
2026-02-04,4087.10009765625
2026-02-05,4063.300048828125
2026-02-06,4068.10009765625
2026-02-09,4113.60009765625
2026-02-10,4169.0
2026-02-11,4170.39990234375
2026-02-12,4185.89990234375
2026-02-13,4173.89990234375
2026-02-16,4201.5
2026-02-17,4279.7998046875
2026-02-18,4325.89990234375
2026-02-19,4280.5
2026-02-20,4380.60009765625
2026-02-23,4418.10009765625
2026-02-24,4259.2001953125
2026-02-25,4298.5
2026-02-26,4286.5
2026-02-27,4278.2998046875
2026-03-02,4066.699951171875
2026-03-04,3882.60009765625
2026-03-05,4038.699951171875
2026-03-06,3949.800048828125
2026-03-09,3842.10009765625
2026-03-10,3876.0
2026-03-11,3838.800048828125
2026-03-12,3719.5
2026-03-13,3439.0
2026-03-16,3469.39990234375
2026-03-17,3542.800048828125
2026-03-18,3607.89990234375
2026-03-19,3434.5
2026-03-20,3434.800048828125
2026-03-23,3342.39990234375
